id,yield
15000,7647.6237229954495
15001,6527.778866463499
15002,4814.090734637509
15003,7145.8350395421185
15004,5496.112801383083
15005,5567.213491980086
15006,5523.381158014723
15007,3574.3989420508615
15008,5780.248636398135
15009,5581.192389537704
15010,4395.862152355816
15011,7989.908262476229
15012,5331.220246859564
15013,6206.428398502678
15014,7423.343873103461
15015,5376.64045183989
15016,5408.8952410167185
15017,5634.989192675022
15018,6532.1491105410005
15019,5827.994967227071
15020,7385.801631266849
15021,7240.739386361677
15022,6466.234602465206
15023,6425.844717071522
15024,7376.039733613576
15025,6028.713700903778
15026,3626.665899885362
15027,7559.564668736655
15028,6647.696321090412
15029,7417.725427609383
15030,8107.299502313238
15031,7347.876225024684
15032,6095.750261877436
15033,5788.203996801376
15034,5284.999807747348
15035,6616.972767786182
15036,6511.654100031565
15037,7594.636664558435
15038,5666.6441639981895
15039,8242.792167735284
15040,6701.6602038992
15041,7141.480994115115
15042,5502.369361758679
15043,4521.498407528383
15044,4944.824332202379
15045,6824.440060264798
15046,8168.879643715004
15047,3973.0171188560616
15048,6333.975697237268
15049,7460.928715457571
15050,3099.7940386299074
15051,6385.556705287605
15052,6552.3806430993045
15053,5539.167295777245
15054,5563.79818011945
15055,5510.006289447058
15056,6161.775560226633
15057,6669.255111800601
15058,6778.206493804139
15059,6905.1886774217
15060,6986.138252180248
15061,6773.081274565841
15062,5300.559786474865
15063,5354.979125488068
15064,6625.677140645089
15065,7498.498818437955
15066,5543.148864960653
15067,5453.646773688603
15068,3601.0315373021435
15069,6607.821238849312
15070,7519.327894310436
15071,6701.79960455013
15072,3539.860775550431
15073,2918.9582908342695
15074,6968.615123415251
15075,4973.788382187404
15076,3877.6085196915005
15077,7310.838209571258
15078,6122.498761571542
15079,3532.0627193135006
15080,7537.152059215711
15081,4233.923851158092
15082,4860.271384956705
15083,5950.459151093914
15084,5550.925470720804
15085,7142.36560831047
15086,6265.091874104199
15087,6466.200597037496
15088,5703.73254727016
15089,6297.503930820195
15090,6865.59117922742
15091,6488.200440259516
15092,6183.219792284392
